"EXT1","EXT2","EXT3","EXT4","EXT5","EXT6","EXT7","EXT8","EXT9","EXT10","EST1","EST2","EST3","EST4","EST5","EST6","EST7","EST8","EST9","EST10","AGR1","AGR2","AGR3","AGR4","AGR5","AGR6","AGR7","AGR8","AGR9","AGR10","CSN1","CSN2","CSN3","CSN4","CSN5","CSN6","CSN7","CSN8","CSN9","CSN10","OPN1","OPN2","OPN3","OPN4","OPN5","OPN6","OPN7","OPN8","OPN9","OPN10","EXT1_E","EXT2_E","EXT3_E","EXT4_E","EXT5_E","EXT6_E","EXT7_E","EXT8_E","EXT9_E","EXT10_E","EST1_E","EST2_E","EST3_E","EST4_E","EST5_E","EST6_E","EST7_E","EST8_E","EST9_E","EST10_E","AGR1_E","AGR2_E","AGR3_E","AGR4_E","AGR5_E","AGR6_E","AGR7_E","AGR8_E","AGR9_E","AGR10_E","CSN1_E","CSN2_E","CSN3_E","CSN4_E","CSN5_E","CSN6_E","CSN7_E","CSN8_E","CSN9_E","CSN10_E","OPN1_E","OPN2_E","OPN3_E","OPN4_E","OPN5_E","OPN6_E","OPN7_E","OPN8_E","OPN9_E","OPN10_E","dateload","screenw","screenh","introelapse","testelapse","endelapse","IPC","country","lat_appx_lots_of_err","long_appx_lots_of_err"
"2","2","2","4","1","2","1","4","2","5","3","3","3","3","1","2","2","2","2","2","1","2","1","5","1","5","2","4","5","4","2","3","3","2","2","3","4","1","1","3","3","2","3","2","4","3","5","4","3","4","18950","4737","3648","2738","2108","4430","4051","4178","17536","5747","5874","4157","2986","5424","3778","3802","3910","5474","3053","3320","3266","10130","2547","3257","3329","1114","4182","4386","2713","10830","2285","3256","7328","3495","9607","6692","30082","2037","2907","1966","2476","488235","8857","7557","2370","19473","3060","5557","2961","31397","2017-10-18 11:08:27","1280","800","14","800",11,1,"US","47.9129","-122.0982"
"4","1","2","3","4","2","4","4","2","2","2","4","4","2","1","2","2","2","2","2","1","5","1","5","2","3","1","5","4","4","4","4","2","1","4","2","4","1","4","2","3","4","2","2","3","2","4","3","5","4","14545","1852","3485","4380","1897","3259","3748","3541","3481","4057","3224","2949","2638","2209","17797","2504","1941","1640","3165","25741","4467","2361","2972","2497","3796","8750","2968","2929","5461","2729","2508","3164","2695","2300","4109","3587","1784","2700","1976","2516","4685","3880","3997","4896","30242","3736","3720","2697","4269","30510","2018-02-05 20:30:16","1280","800","6","268",11,1,"US","38.0","-97.0"
"3","5","3","1","5","1","5","5","1","3","1","5","3","1","1","1","1","3","1","1","1","5","1","5","3","5","3","3","5","5","5","1","5","3","3","3","5","1","3","3","3","1","5","1","3","1","3","1","5","3","15783","3049","6461","7563","2941","4942","4164","3373","4687","7018","3939","3270","4106","28373","5180","2642","4955","2470","2424","13851","9529","2609","2813","2610","4326","51395","6440","4011","3017","4379","5585","8177","2502","3444","5660","5551","3235","111354","2377","4306","13807","11633","30526","3858","2357","3352","2751","6102","3323","2549","2017-09-20 19:54:48","1280","720","32","456",21,2,"PK","30.0","70.0"
"4","2","4","1","4","1","4","3","4","3","2","3","4","2","3","4","5","4","3","4","1","5","2","5","1","5","1","5","5","4","2","5","4","3","2","5","3","4","2","5","5","1","5","1","4","1","3","5","5","5","8004","6372","4170","2839","2571","2366","43855","8071","4234","5946","2879","3499","5325","4721","6395","5615","2788","3835","8953","2839","4477","3328","3403","2787","7137","1868","7086","3492","3696","3261","3750","3837","5398","8929","6166","3580","2724","4501","4373","5039","6702","3895","2776","3504","3672","20260","9464","6269","3402","2597","2016-09-11 09:59:27","1366","768","12","288",13,1,"US","38.0","-97.0"
"4","4","4","2","4","4","4","4","4","4","3","4","2","2","2","2","4","2","2","4","2","3","3","3","4","3","4","2","2","3","3","3","4","3","2","2","4","2","2","3","3","2","2","2","3","3","4","3","5","4","11265","5350","3917","4464","4334","6964","9167","5950","16766","5035","2730","2767","7701","22220","4867","5051","2484","3386","5835","2750","9046","43985","19082","4752","5683","6301","7368","5233","1083","4036","4053","29084","5502","3098","3367","1032","6783","5000","16018","3595","17305","6035","9169","14117","4002","24286","2901","7116","3334","16802","2017-03-02 15:36:21","375","667","21","424",18,1,"AU","-33.8666","151.2082"
"1","4","0","5","1","5","1","5","1","5","1","5","2","5","1","1","2","1","1","1","1","3","2","5","3","5","4","4","4","3","4","4","2","2","1","4","5","1","5","1","4","5","1","5","3","4","4","1","4","3","44809","3904","0","2594","3617","4131","4482","2637","2883","2812","3888","8273","3703","3230","2184","3384","2294","1544","6080","2733","3694","3967","4327","3309","3681","2793","7183","4788","9548","5106","2689","3727","2954","2892","3195","3672","5787","2672","4692","4051","3868","3871","3811","3755","4026","3877","8518","1722","3316","1162","2016-07-25 22:08:49","NULL","NULL","NULL","233",17,126,"US","37.4192","-122.0574"
"3","2","4","3","3","2","1","4","3","3","3","4","4","4","3","3","2","3","2","2","1","5","1","5","1","4","1","5","4","4","3","3","5","3","2","2","3","2","4","2","4","1","4","1","3","4","4","2","5","4","9581","8447","6048","4328","3289","2368","8640","6812","6640","3718","3946","4241","6251","15601","3860","9935","7594","3702","3111","6069","2790","3725","9976","1468","4218","2670","2959","5064","12687","4070","3764","5821","2546","4524","5578","6721","4548","4070","2218","3836","6124","5422","4469","2992","6828","1151","7006","3860","9844","1524","2018-05-10 10:29:10","1920","1080","7","269",22,1,"GB","53.25","-1.4167"
"3","2","4","3","4","1","4","4","2","3","4","1","5","2","3","5","2","2","4","2","1","5","1","5","2","4","1","5","4","4","4","2","5","2","3","1","5","1","5","4","3","3","2","3","4","1","3","1","5","4","13773","5750","6270","3030","3843","3285","6525","5444","4481","3908","6384","6266","3834","4801","29075","2747","5940","4900","4400","4189","12069","4158","5029","7648","6642","4307","2795","4123","3352","3938","5283","5476","5188","5239","6597","3779","2442","3102","3076","3392","3367","6815","4582","4135","1808","3335","5500","4867","5519","3531","2018-02-19 12:35:40","320","568","8","272",12,1,"GB","51.5","-0.13"
"4","1","5","2","5","2","5","2","5","2","2","5","2","3","1","5","3","2","2","2","5","5","1","4","2","5","2","5","5","5","4","2","5","2","4","2","4","2","4","4","4","1","5","2","4","1","4","4","5","5","1451782","2756","8253","4761","3733","1595","2097","2404","6544","2789","6141","5814","4041","2965","2632","2875","924","2170","2241","1892","2172","2080","1093","3538","3357","6304","2516","3328","2341","2461","6101","5383","3035","2993","2973","1053","6963","5981","1767","3410","2457","3050","2148","2555","4032","2675","2071","2896","2780","1107","2016-04-08 23:26:09","540","960","2479","1637",22,117,"US","37.4192","-122.0574"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2018-03-20 06:12:22","1920","1080","2497","12",11,1,"GB","51.5667","-0.3333"
"1","3","3","3","1","2","2","2","1","5","5","3","3","3","5","4","4","4","5","2","4","2","4","4","2","3","3","3","5","3","2","4","5","3","2","4","3","3","3","3","3","2","4","3","4","1","4","3","3","4","8039","4138","7842","4472","12943","4206","4615","3593","7937","5974","10351","12779","3353","3435","3852","2151","4545","4116","3261","10254","7258","4685","4622","5104","6356","5286","8507","4638","3852","4152","9753","4752","5981","7887","3397","11927","4524","6053","6852","5137","8853","7682","4398","4565","3863","3653","3411","5788","6240","3586","2017-01-21 06:02:03","375","667","9","297",16,1,"PH","14.5833","120.9667"
"3","3","3","3","2","3","2","4","3","4","4","4","3","3","2","2","2","1","3","3","2","3","3","4","2","3","2","3","4","3","4","3","3","2","1","2","4","3","3","3","3","3","3","2","2","2","3","2","2","3","5320","3533","9879","2832","8280","4619","6032","4108","5396","6429","5376","528818","3743","6782","6864","4420","14935","8753","4298","8080","9727","3854","6902","10313","8627","6152","15200","175485","5540","5447","5493","4985","7061","6930","8188","4344","5540","4014","28578","5008","7531","8238","3693","17314","5084","8608","4402","4029","74784","1053","2016-11-21 08:23:50","414","736","11","1112",12,1,"US","35.8204","-78.6783"
"4","5","1","4","2","2","4","2","4","5","5","2","5","1","5","4","5","4","4","5","4","3","1","2","3","3","3","2","2","3","1","5","4","3","1","5","3","4","1","5","4","1","5","1","4","1","5","3","5","5","9106","5274","5200","4184","7806","5106","4641","3362","5446","4974","3097","3889","4657","5363","4354","8822","4757","4219","4466","4376","7171","3156","4003","5567","8499","4217","4271","5897","3611","3937","4153","5234","4318","4363","3576","5482","3173","36877","2593","5942","3224","3417","4780","4017","5130","4017","4218","3985","3165","1193","2016-04-15 07:24:28","360","640","12","301",239,1,"SE","59.3333","18.05"
"1","4","1","4","1","4","1","4","2","5","4","4","4","1","4","2","4","4","4","4","5","1","2","2","5","4","5","2","2","2","0","5","4","3","3","5","4","4","2","4","5","1","4","1","4","1","5","5","5","5","3291","3655","6154","3265","3093","2873","5619","2830","4606","3613","2887","4950","2677","3891","7273","6671","3273","1869","1748","2478","2605","2394","4414","1801","3717","1720","1998","3848","13183","2063","0","2401","4718","4622","4745","2153","2734","1556","5727","4631","5380","2825","2071","2216","1913","3927","1818","1787","3206","2026","2018-10-31 00:39:48","2560","1440","4","176",9,1,"AU","-33.9167","151.1667"
"3","3","3","3","3","1","3","3","3","4","3","2","5","1","4","4","5","5","5","5","1","5","2","5","2","5","1","5","5","4","4","2","5","1","3","1","5","2","2","5","3","2","5","1","5","1","5","1","5","5","264558","4588","5897","3397","2700","3870","8077","3949","4302","4594","6266","2616","1894","2259","8688","15597","1815","6237","6161","1648","12963","2104","3918","1922","2911","2092","2818","3164","2049","18679","4866","4064","2096","3827","3642","3333","1767","4318","4034","1435","2818","6113","978","2264","1463","3272","2332","3228","885","930","2016-06-07 18:42:44","1280","800","51","631",4,2,"US","40.7168","-73.9861"
"4","1","4","1","5","2","4","2","4","4","3","2","3","2","3","4","2","1","2","2","1","4","2","4","1","3","1","4","4","4","4","1","3","3","4","2","3","1","4","4","4","2","4","1","4","1","4","3","2","3","391865","1085","99893","1913","1146","912","9551","2368","2401","6885","2232","1567","1562","2150","3950","2449","1299","1014","1333","1300","3571","1851","1030","4373","1591","1256","3014","2934","1518","19813","2117","1398","3521","1214","1363","5332","901","2516","2498","3970","1384","10900","833","5585","5068","818","2136","1516","2984","1385","2018-02-22 15:53:15","768","1024","46","637",10,16,"US","38.2184","-122.7676"
"2","4","3","3","3","2","3","4","2","4","4","3","4","2","2","3","4","4","4","3","2","4","2","4","2","4","2","3","4","2","2","4","3","3","1","4","2","2","3","3","4","3","3","2","3","3","3","3","4","3","6686","3011","2457","2799","2998","2386","7403","2558","6672","742","3052","2903","3036","5993","3161","2309","2927","2607","2828","3471","4009","2684","2992","2170","3175","2904","833","3670","1027","4843","2810","2860","2711","4536","3012","3230","2986","2644","3394","6487","2958","3194","4010","894","2591","3130","3976","3037","5663","2457","2018-09-09 22:26:37","375","667","8","166",9,1,"US","38.0","-97.0"
"2","1","5","4","3","1","4","4","2","3","3","3","5","3","1","1","2","2","1","1","3","4","1","5","2","5","2","5","5","5","3","5","3","3","3","3","3","4","5","4","4","1","3","3","5","1","5","4","5","5","35122","5312","10072","3232","6969","6144","11215","14200","7312","2769","7208","3560","2448","5944","2968","13728","9824","5671","3080","7844","5063","2488","4776","3680","3440","3328","4839","5647","3776","3400","4398","5887","4047","4248","3831","9694","3281","6321","3824","4216","3328","4336","4897","2367","7880","4064","2895","3504","4415","6160","2018-09-10 10:24:06","1920","1080","7","301",16,3,"US","35.188","-119.2162"
"1","4","2","4","1","4","1","5","2","4","4","3","4","1","4","4","3","3","3","4","2","2","3","4","4","3","4","2","3","2","4","2","4","2","3","2","4","1","4","4","3","2","4","2","3","2","3","2","4","3","5442","4400","5190","3042","3400","3788","3935","6758","4428","2532","16057","5493","1901","4183","4341","5014","3180","5403","2097","1954","8812","3594","2727","3866","3947","2171","3993","5446","4852","1900","8525","5225","2315","4670","2671","2645","1923","3332","10662","4252","3352","4763","2788","3430","6605","2648","6616","5962","2422","1272","2018-03-26 15:48:53","1366","768","52","221",10,1,"US","40.0754","-76.3189"
"2","1","3","3","3","1","3","2","4","5","3","2","4","2","2","3","4","3","4","3","1","4","4","4","3","3","2","3","3","4","3","5","5","3","1","5","2","1","4","4","4","2","4","2","3","1","4","5","4","4","5091","8911","2037","2070","1946","11026","3978","2795","4672","1923","1532","3338","1547","2231","2518","2256","1827","1659","1841","2952","2498","14768","2329","2807","2967","1491","2866","2158","2069","2086","2155","1378","16813","2343","1739","7350","3858","2328","1822","2148","1821","3596","1616","5252","1664","2479","7449","2831","2870","2969","2017-09-06 18:32:58","1280","720","2","178",16,2,"US","38.0","-97.0"
"2","2","1","4","2","2","1","4","3","5","3","3","4","2","2","2","2","1","2","4","1","3","1","5","2","5","1","3","4","3","1","4","4","4","1","3","3","2","2","3","3","4","4","2","1","2","2","1","3","3","5722","5573","19888","2056","2107","2777","4416","3675","1905","3901","8950","6816","3350","2473","2213","3410","4679","3564","7034","6965","4523","5656","2650","2696","2364","3777","4323","3791","3053","3428","3150","5190","4030","5215","4228","9519","2369","2518","4785","3858","846","4435","1716","4916","2796","1680","2390","5182","4483","2726","2018-04-10 17:16:00","1280","800","168","216",10,1,"US","40.7334","-73.4281"
"5","1","5","1","5","1","5","2","4","2","5","2","5","4","4","4","5","5","4","2","1","5","5","5","1","5","1","4","5","5","5","2","2","2","5","2","5","3","5","4","4","3","4","2","5","2","5","4","5","4","7444","1479","2360","4157","2262","1861","4041","1829","2394","2910","2095","3426","7583","9543","2876","7366","1477","3643","2112","4006","140397","2711","2560","1929","3823","1780","2427","1031","1729","4106","3210","2727","4672","2079","2393","2693","3427","3822","1679","3375","3575","16927","5270","6237","1863","21034","28649","2977","4340","765","2017-11-02 11:14:30","1280","800","8","360",26,1,"US","43.1154","-77.5576"
"5","1","4","2","4","2","4","3","3","4","3","3","4","4","2","3","3","2","2","2","2","5","2","4","2","4","2","4","4","4","3","3","4","1","3","2","3","2","4","4","4","2","4","2","4","2","4","4","2","4","5253","2248","2555","3065","1809","2032","3534","2667","1659","4121","2786","2317","1236","7213","2598","3400","1410","1789","2130","1215","6810","1605","5012","2653","3832","1522","1940","4902","2675","1808","1319","6673","2458","4014","2332","4725","3058","13952","2299","4749","1738","2535","1737","1263","1870","2171","3324","1999","1348","1620","2018-02-08 11:39:35","1366","768","8","154",12,36,"US","42.9612","-87.9928"
"2","4","5","4","2","2","3","4","3","5","1","5","5","2","1","1","2","1","1","3","1","5","1","5","1","5","1","5","5","5","4","3","5","2","2","4","4","2","4","4","4","1","4","1","5","2","5","3","5","4","13264","3694","2932","10696","3048","6056","5883","19587","5418","1286","4566","4161","3249","9791","3896","4601","3246","6181","3479","3046","3385","2588","3471","3530","8979","3109","3392","3316","2390","2634","5563","6691","2665","2887","5114","4200","2690","18037","13900","8544","3653","3063","5303","16314","2455","29091","9101","4346","3243","2912","2016-06-07 15:02:15","360","640","137","307",37,1,"US","43.0125","-83.6875"
"2","2","4","2","0","2","2","4","3","4","3","4","3","3","3","3","2","2","2","2","2","4","4","4","2","3","2","3","3","4","3","1","5","2","3","1","4","2","4","4","4","1","4","2","4","1","4","4","5","4","14484","4592","3072","3496","0","1024","8456","5832","8246","8168","2728","4538","1928","1918","3080","3774","4328","3848","4328","2526","3114","2432","2000","2216","7750","2502","2008","4984","3458","4496","3734","10968","2536","1706","6912","3634","1720","2808","1912","8794","2344","5110","1984","2490","3426","6786","2376","3032","1984","2752","2018-03-27 01:39:14","2560","1440","11096","203",33,1,"FI","60.1756","24.9342"
"2","4","5","4","5","4","4","2","5","4","1","5","1","4","1","1","2","1","1","2","4","3","1","4","2","2","3","4","3","4","1","5","5","5","1","5","5","3","1","4","3","1","5","1","5","1","5","2","5","5","0","960","3129","2143","5537","2240","3040","3338","1561","15744","2631","5272","4073","3313","1488","2409","4505","4056","976","3304","56304","616","5439","8216","9960","2553","8280","4176","8168","4104","1735","6712","3320","1928","967","4943","3816","5160","1080","5545","4056","2672","1544","38447","1976","1551","1734","6550","5872","727","2018-10-18 20:53:54","1920","1200","24","316",9,1,"CA","45.7551","-73.5959"
"3","4","2","3","3","3","3","5","1","3","4","2","5","1","5","4","3","3","3","2","5","5","3","5","3","5","4","4","3","3","3","5","5","2","3","5","5","1","1","4","3","2","5","2","2","2","3","3","5","4","6525","2072","3894","3123","3456","1735","5576","3919","3632","2400","2567","3167","1032","6738","2520","2680","4416","2552","3122","4440","5293","3272","2730","5624","9312","2960","4840","7952","4408","5073","3377","3161","3136","3325","1400","4176","3480","5080","2950","9399","3312","5120","1469","2744","2392","3528","2536","2656","3103","1936","2017-12-27 00:20:01","1344","840","22","191",15,1,"NO","59.95","10.75"
"1","4","3","4","4","2","1","5","1","5","4","3","5","3","1","1","1","1","1","3","1","5","1","5","1","5","2","3","5","1","4","1","5","2","5","3","4","1","5","5","4","3","3","4","5","1","4","3","5","4","70258","10748","11288","7176","10929","8417","7871","8029","9338","3838","16984","23582","7600","7346","6441","5366","6918","15406","23160","4571","78990","7147","8268","4837","7518","6706","7703","7374","5198","5539","7250","8419","6812","14091","36121","8961","11439","13412","10641","4256","15862","9031","8301","11310","6625","5726","8091","5647","6712","3534","2018-09-11 08:26:15","360","640","4","609",6,7,"GB","51.5142","-0.0931"
"2","4","4","4","4","3","4","5","2","4","2","2","4","2","4","2","2","2","2","4","1","5","2","5","1","5","1","5","5","5","4","3","5","3","2","3","4","4","2","4","5","3","5","3","4","1","4","4","5","5","9214","10960","7794","4395","7031","7472","6012","4279","5014","6708","9979","17526","5574","10866","9634","21648","5592","5002","7263","5036","4340","72750","14190","3859","5346","54156","4078","6037","4120","4694","13870","11587","8902","6810","8839","11307","4751","10871","7237","10166","6762","12993","4302","6454","6052","5624","14114","8084","5622","5226","2017-12-07 22:08:44","360","640","118","512",51,1,"DE","51.4997","7.1944"
"3","4","3","3","3","4","3","4","4","4","5","3","4","1","3","3","4","3","3","2","4","3","1","4","4","4","2","4","4","4","0","4","3","4","3","3","3","3","2","4","2","4","2","4","4","2","5","4","3","4","1596","5803","3502","4473","3368","3609","5222","4904","4251","6019","3544","3894","3744","18215","4675","2867","3239","4197","3184","5324","18587","3853","4292","2693","5999","1600","3536","2787","2361","6213","0","3319","4993","2091","5562","10250","5129","4231","2382","2639","3960","6410","3394","6777","3941","8286","3482","3556","4218","2868","2018-02-19 11:36:51","1366","768","22","237",19,1,"SA","25.0","45.0"
"1","3","1","3","5","3","3","5","1","5","5","1","4","4","1","1","1","1","3","1","1","5","1","3","3","5","1","5","5","5","5","1","5","5","4","1","5","1","3","5","3","1","5","1","5","1","3","1","5","5","10246","6675","8160","6326","12425","4270","5416","16083","11693","2156","6243","7474","5424","25835","4431","2729","4088","3223","3313","2397","4803","2580","5086","4936","6222","8123","5711","5538","2567","3093","3505","3323","2766","6360","6516","5026","21005","17515","6847","4182","5148","3555","3284","4603","4681","2538","7331","2059","2713","2246","2018-08-03 16:58:10","1366","768","22","314",11,1,"CA","45.3155","-75.837"
"1","5","3","5","2","3","2","5","1","5","5","3","5","4","1","5","4","4","4","5","1","0","1","5","1","5","2","5","5","3","1","5","3","5","1","5","1","3","1","2","3","1","5","1","3","1","4","3","5","5","2491","1303","2373","3976","1686","1604","1569","1905","7871","1185","2374","5180","1087","1321","3241","1271","1471","1554","1723","1654","2840","0","2307","1353","2707","1805","3494","1152","1321","1988","2424","5214","3325","4162","2574","1303","1503","3844","4344","2491","3376","4680","3493","3026","3025","1656","2373","1873","1688","1254","2017-05-07 19:21:32","1440","900","5","125",9,4,"AU","-35.2772","149.1054"
"4","3","4","3","4","2","4","2","5","4","3","5","2","4","2","2","2","2","3","1","1","5","2","5","1","4","1","5","4","5","4","2","4","1","2","1","5","3","4","4","2","3","4","2","4","2","4","1","4","4","5085","5377","2799","1611","2195","2145","4773","3586","1954","7269","1561","1651","4300","5568","6182","1690","2185","1995","2417","1712","1429","1883","1954","4713","3161","1853","2064","1812","1833","5800","3333","2065","1570","1632","1401","2347","1670","2045","1570","2306","2196","4854","2044","3333","1530","1994","2909","1568","1983","1368","2016-05-15 21:19:32","1477","831","2","137",5,2,"US","38.751","-77.4753"
"4","1","3","2","4","2","3","2","4","3","3","4","4","4","2","2","3","2","2","2","2","4","2","4","2","4","2","4","4","4","3","4","3","3","1","2","3","3","3","4","4","2","4","2","4","2","4","3","5","4","5720","2529","1987","1760","9501","2015","2744","2481","2069","2949","1698","4153","4174","9947","2090","908","5274","1712","1499","4043","4105","7780","6847","2488","2942","8505","2880","5773","1458","8952","2349","1506","1705","11286","2090","3086","2915","1987","2983","9805","4606","1429","2042","2104","10319","4262","1066","2708","2331","3004","2018-02-11 18:53:02","1536","864","18","196",10,1,"US","36.2729","-115.1333"
"2","3","2","4","4","4","2","5","2","5","3","4","4","3","4","2","2","4","4","2","5","4","3","1","5","1","5","2","2","2","4","4","4","2","2","4","4","3","2","4","4","2","5","2","5","1","4","4","5","5","7569","3432","3048","4501","4099","3385","4520","34921","4116","9085","2782","3150","3235","3453","5336","4576","4899","3350","3336","9951","4396","3852","3030","2666","8686","3049","9749","5832","3483","6303","3084","41285","2818","3715","2999","88046","3318","4500","2966","192910","2784","3234","3698","3850","7065","3348","36354","14352","4398","2883","2016-06-13 20:12:50","375","667","18","602",126,1,"US","30.1028","-94.174"
"1","4","2","4","2","1","1","4","2","5","2","5","2","1","2","1","1","1","2","5","4","5","2","2","4","4","2","2","4","4","5","2","5","2","1","2","4","1","4","5","5","1","5","1","5","1","5","5","5","5","5612","3179","2200","1428","3128","949","2277","2852","4628","1487","1167","2515","2948","2000","1540","1651","2356","1855","1256","1551","14383","1457","2871","2744","2072","3724","3715","3261","1740","4553","2820","3696","1909","1577","1668","2635","2628","1923","2620","1388","1517","1153","1863","2191","2296","2713","2213","1716","1653","544","2018-02-25 09:35:17","1536","864","12","129",8,1,"US","40.8529","-73.9139"
"1","4","1","5","1","2","1","5","1","5","4","2","5","1","2","5","3","3","4","5","4","2","1","2","4","4","4","2","2","3","3","3","4","4","2","3","3","2","2","3","4","1","5","1","3","1","5","4","5","4","2338","3928","5200","2864","967","4497","1385","1280","2464","2424","2176","2464","1976","28136","5073","1785","1503","4144","1928","6208","19767","13144","2360","5920","4320","3599","3007","2303","8320","6608","8167","4656","5280","7048","3936","5960","1434","17240","6640","1160","1704","3559","2120","2361","1463","2887","1592","1696","2048","3041","2018-02-24 06:57:27","1366","768","2","238",58,1,"GB","52.4494","-1.7416"
"2","3","3","4","2","4","2","3","4","4","1","5","5","3","4","2","3","2","3","3","1","3","3","3","3","4","3","4","3","3","2","5","4","4","1","5","3","3","2","3","5","3","3","3","4","3","4","3","4","3","25241","3033","4336","3021","2158","6072","6765","4483","8768","2474","8251","3197","3580","1849","4318","9857","2382","10067","2384","2267","4250","6883","7382","3372","6231","14413","2649","7368","6017","3268","22337","5935","1673","2196","6370","1782","2222","2484","5349","4284","833","5486","6347","5229","2866","2015","3400","3469","4693","784","2016-07-08 00:52:16","414","736","21","268",11,1,"SG","1.2931","103.8558"
"3","2","4","3","3","2","4","3","3","5","5","1","5","2","3","3","4","2","3","4","2","4","2","4","2","5","2","4","4","4","4","4","5","2","1","4","5","4","4","5","4","2","4","1","4","2","5","2","5","4","3525","9725","1824","1497","1926","3786","3115","2731","3945","2445","3369","4669","2638","3858","2237","9402","3646","24914","3327","7735","3880","5392","13466","3183","11708","1563","991","3625","2420","3282","4043","10623","3368","1760","5344","4691","1550","3587","1558","16618","1979","3664","3598","6500","1758","3080","2990","3440","2128","2035","2018-04-03 11:35:38","1440","900","3","235",19,110,"US","40.8","-96.667"
"4","1","4","2","4","1","3","2","3","3","2","2","5","3","2","2","1","1","2","0","1","5","2","5","1","5","1","5","5","3","4","3","5","3","4","1","3","1","4","5","5","1","0","3","4","5","4","5","4","5","10474","3861","3338","8343","5012","6893","5138","4817","4424","6785","6868","7518","1406","24369","4316","8504","7457","2755","2222","0","20084","3879","6062","6398","3866","4438","5848","4085","2196","26931","4937","29134","3058","4698","16793","9928","13412","26179","6470","4902","2144","5352","0","4888","4320","996","3478","3600","6600","4450","2017-09-06 13:05:25","1280","800","172","364",19,1,"US","40.7317","-73.9885"
"3","3","3","3","3","3","4","5","2","3","4","4","4","3","4","4","3","3","3","2","1","4","1","5","2","5","2","4","5","4","4","1","5","1","4","1","5","2","4","4","3","3","4","1","4","2","4","2","4","4","3752","1746","5515","2444","2470","1209","6056","2742","2407","3117","2910","5522","2590","3392","2927","2398","3762","3175","2087","3350","4825","2652","2172","2934","3912","2814","2962","2784","2185","2788","3914","4098","2363","3069","3956","10126","2486","3506","1877","3966","3184","3187","2397","6320","3007","2672","2782","4304","3461","1946","2017-01-17 16:19:00","1280","800","3","167",19,1,"US","35.1108","-89.9483"
"3","2","2","3","4","3","2","3","4","4","2","4","5","1","1","5","4","2","5","4","4","3","5","3","3","4","4","2","3","3","4","4","5","2","2","4","4","2","4","5","4","1","5","1","3","1","5","4","5","4","11122","4556","2482","6037","11467","8320","5743","7671","5700","3788","3393","1527","3382","935","29621","4666","2133","3562","4786","4127","1385","6162","18423","10733","5667","5654","4880","4685","6452","4412","19458","16594","933","6265","5524","34765","4281","5504","3904","4665","6235","12338","3662","5963","5741","3292","10349","4157","4439","3773","2016-10-12 05:40:22","360","640","7","359",26,1,"KW","29.3375","47.6581"
"4","1","4","2","5","1","4","2","4","2","2","4","4","2","2","4","4","4","4","4","2","4","2","5","2","4","2","2","4","4","1","5","2","5","1","5","1","2","2","4","5","1","5","1","4","1","4","4","5","3","5390","3401","2760","3135","1328","3008","4953","1729","1729","1704","1432","2625","2553","2303","2496","1961","2328","1441","2920","2136","2861","1904","4809","2697","2728","2408","2095","7319","1944","1720","9274","3304","1880","1882","2257","2409","1553","6514","1824","3737","1880","2256","3496","2248","1616","2912","2080","2191","2080","3648","2016-10-26 14:08:11","1600","900","121","142",8,2,"US","34.0008","-117.1266"
"5","1","5","1","5","1","5","5","1","1","5","1","5","2","4","5","4","4","4","4","1","5","4","5","3","3","2","4","5","5","2","5","1","4","1","4","2","5","1","3","5","1","5","1","4","1","4","4","2","5","2880","1951","2312","2232","1624","1432","2216","1839","6041","1816","1935","2568","1912","3159","6543","1232","1552","4113","1833","2233","4039","2040","2584","1832","4377","2832","2968","3048","2911","2296","3072","3592","3008","2952","2664","3496","4032","2720","3071","6847","1705","2600","1528","2232","3153","2160","3448","18775","2432","1152","2018-07-26 06:20:48","1920","1080","36","166",14,1,"US","38.999","-84.6266"
"3","3","3","3","4","3","1","4","3","3","3","3","1","4","4","5","2","2","4","2","2","5","3","3","4","4","4","3","3","3","2","4","2","2","1","4","4","3","3","2","4","5","4","1","3","2","2","5","4","2","13991","792","7211","3436","3937","3329","10217","4435","3773","4932","3337","3922","2183","6533","4513","5241","6203","4514","5768","5180","7114","9988","7879","4188","5406","4394","8281","4803","6775","33416","4109","4635","3937","3865","4410","4059","7894","7329","6427","8011","4281","189929","5675","4539","6517","3890","5231","4938","3988","3648","2017-09-14 05:53:08","360","640","16","485",14,1,"AU","-27.0","133.0"
"5","1","5","1","5","1","5","1","5","1","1","5","1","5","3","1","1","1","1","1","5","5","4","1","4","2","1","3","1","5","1","5","3","3","1","5","1","3","3","3","4","2","5","2","5","1","5","4","4","5","11393","1768","1683","4277","2202","3037","4921","2068","2192","6002","2284","3020","4561","2501","9271","9373","2567","2618","5395","2552","3368","1317","2603","2420","9500","2519","5655","5624","4569","951","2116","2784","4035","3015","8125","1065","9135","3769","3819","8021","2186","2916","2084","3285","1698","2302","4714","4744","18066","1684","2016-05-27 04:24:54","375","667","10","213",7,1,"US","37.3306","-121.8367"
